Donor Name,Food Type,Quantity (kg),Location,Donation Date,Transport Mode,Donor Type,Donation Frequency (per month),Average Donation Duration (hours)
Mercado-Arellano,Dairy,57.92,East Williamport,2024-04-11,Walk,Supermarket,7,2.1
Malone-Lopez,Meat,94.83,Tiffanyborough,2024-11-09,Bike,Farm,1,2.5
"Brooks, Robertson and Roth",Dairy,79.95,Normanland,2023-12-15,Walk,Farm,4,2.2
"Jones, Schroeder and Matthews",Snacks,71.58,New Connorside,2024-08-11,Van,Farm,9,1.9
Martinez and Sons,Frozen Food,96.32,Jameston,2024-02-04,Truck,Food Bank,4,2.7
"Washington, Hill and Cole",Vegetables,95.33,New Shane,2024-08-01,Walk,Restaurant,5,2.4
"Jenkins, Mann and Holt",Fruits,81.95,West Michael,2024-08-11,Van,Grocery Store,2,2.2
"Mcgrath, Garcia and Martinez",Meat,41.98,Arnoldmouth,2024-01-25,Walk,Restaurant,8,2.6
Brown and Sons,Vegetables,40.71,Lake Jennifer,2024-05-15,Truck,Grocery Store,6,2.6
Tucker PLC,Meat,25.48,Carlytown,2024-06-05,Walk,Farm,4,2.9
Mccoy PLC,Canned Goods,52.41,Williefort,2023-12-23,Van,Restaurant,6,0.5
"Park, Lozano and Flores",Vegetables,12.66,New Ashley,2024-09-25,Walk,Farm,4,2.1
"Kennedy, Ruiz and Wagner",Frozen Food,88.73,Scottborough,2024-11-04,Truck,Supermarket,7,1.0
Price-Webb,Vegetables,92.16,New Jamesbury,2024-07-23,Drone,Farm,1,2.9
Smith-Roberts,Meat,50.96,New Alexisside,2024-03-06,Truck,Grocery Store,7,0.5
"Adams, Leonard and Mills",Bakery,66.16,Lake Kim,2024-08-02,Truck,Farm,9,1.3
White Inc,Fruits,98.7,Daniellestad,2024-04-19,Bike,Grocery Store,6,1.6
"Williams, Young and Farrell",Grains,24.81,East Veronicaburgh,2024-03-03,Walk,Food Bank,2,2.9
"Howard, Mendez and Ferguson",Canned Goods,10.33,Donaldland,2024-06-15,Walk,Food Bank,6,2.3
Wheeler-Jones,Grains,64.3,North Sarahfort,2024-03-25,Drone,Grocery Store,8,2.7
"Aguirre, Blevins and Newman",Vegetables,8.98,East Darrell,2024-05-23,Walk,Farm,6,2.3
Brown Ltd,Dairy,23.59,Fryestad,2024-03-20,Van,Grocery Store,4,2.1
"Walsh, Mcdaniel and Payne",Grains,28.64,West Cindyview,2024-11-12,Bike,Restaurant,4,1.8
Pena and Sons,Snacks,68.65,Petersonburgh,2024-06-17,Drone,Food Bank,8,2.0
Pratt-Shepherd,Dairy,30.09,Sierraville,2024-03-12,Drone,Supermarket,4,2.8
Carpenter Ltd,Meat,7.14,Lyonstown,2024-02-11,Van,Farm,3,1.4
"Davis, Brock and Harrison",Fruits,58.92,South Josephland,2024-06-05,Walk,Grocery Store,7,1.6
Brown-Summers,Bakery,50.07,South Joseph,2024-10-08,Bike,Farm,5,0.9
Coleman Group,Frozen Food,99.9,New Karen,2024-06-17,Truck,Supermarket,1,3.0
"Rollins, Oconnor and Rangel",Grains,67.92,North Kyleport,2024-04-22,Drone,Grocery Store,6,0.6
Vasquez-Price,Grains,93.69,Johnsonbury,2024-07-03,Walk,Food Bank,7,2.2
Knox and Sons,Snacks,38.23,Port Roberto,2024-01-22,Bike,Farm,9,1.0
Reilly-Crosby,Fruits,54.45,Meghanberg,2024-07-23,Walk,Restaurant,2,1.7
"Ruiz, Wilson and Walker",Dairy,29.97,Lake Seth,2024-03-03,Bike,Farm,3,2.4
Wallace and Sons,Snacks,50.45,Lesliebury,2024-08-07,Bike,Supermarket,4,0.7
Reyes Inc,Snacks,95.25,Josephborough,2024-06-07,Truck,Farm,4,1.6
Phillips-Haynes,Fruits,65.0,Michelletown,2024-02-15,Van,Restaurant,5,1.6
Taylor and Sons,Fruits,16.67,North Lorraine,2023-12-31,Bike,Supermarket,5,2.0
Wise Ltd,Meat,76.2,Lake Anthonybury,2024-07-01,Bike,Supermarket,4,2.0
Potter-Newman,Grains,60.51,North Wesley,2024-09-19,Truck,Restaurant,8,2.8
Schmidt LLC,Snacks,57.41,North Jenniferburgh,2024-06-11,Walk,Supermarket,8,2.0
"Bell, Flowers and Nelson",Vegetables,48.5,Timothytown,2024-03-11,Truck,Grocery Store,5,2.6
Pena PLC,Meat,6.72,North Adam,2024-04-09,Van,Supermarket,2,2.8
Heath-Villa,Dairy,63.95,Lake Marktown,2024-03-14,Truck,Food Bank,5,2.7
"Cole, Fisher and Wilson",Grains,12.38,South Johnton,2024-01-10,Van,Restaurant,3,1.3
Jensen-Webb,Dairy,71.6,New Vanessa,2023-11-18,Walk,Farm,3,0.6
Jackson-Richards,Grains,84.32,Lake Jennifertown,2024-02-19,Truck,Farm,1,1.2
Keith Group,Vegetables,15.3,Hardingville,2024-03-08,Van,Supermarket,5,2.8
Russell-Robinson,Meat,31.71,North Lisaport,2024-08-23,Walk,Food Bank,1,0.6
"Gilbert, Gibson and Smith",Meat,27.42,Port Bradley,2024-04-29,Walk,Food Bank,4,1.1
Briggs-Fox,Vegetables,86.67,North Christopher,2023-12-02,Bike,Supermarket,2,1.7
Pope LLC,Canned Goods,5.84,North Markview,2024-11-05,Walk,Grocery Store,8,2.6
"Soto, Hoffman and Pugh",Grains,36.92,Timothyhaven,2024-04-19,Drone,Supermarket,8,2.7
"Sanchez, Willis and Vazquez",Vegetables,20.72,Lake Danielleborough,2024-10-14,Drone,Farm,6,2.9
Bradley-Daniel,Vegetables,26.4,South Tammy,2024-09-01,Drone,Farm,3,0.8
Mills Ltd,Fruits,94.52,Kentland,2023-12-17,Truck,Grocery Store,7,1.7
Williams PLC,Fruits,46.35,Fitzgeraldbury,2024-07-16,Bike,Food Bank,1,0.7
Mcgrath Ltd,Grains,6.88,East Annmouth,2024-10-03,Walk,Supermarket,2,3.0
Rowe LLC,Meat,45.59,Katieborough,2024-07-05,Walk,Farm,5,1.5
Harris and Sons,Canned Goods,76.66,Douglasside,2024-01-31,Truck,Supermarket,1,2.2
Jacobson Ltd,Dairy,46.87,Jeffreystad,2024-09-11,Walk,Supermarket,4,0.5
Murillo-Blackwell,Dairy,34.27,Russellland,2024-04-07,Drone,Farm,6,3.0
Nguyen-Adams,Canned Goods,99.6,Lake Rachel,2023-12-12,Drone,Restaurant,2,2.4
Smith-Taylor,Snacks,89.31,Robinsonstad,2024-01-11,Bike,Farm,7,2.0
"Young, Ramsey and Garcia",Fruits,36.93,New Williammouth,2024-09-01,Walk,Food Bank,2,2.6
"Paul, Green and Graham",Fruits,84.83,North Lynnfurt,2024-10-28,Drone,Supermarket,1,1.1
Hester Group,Canned Goods,93.61,East Maryport,2024-05-26,Walk,Farm,1,1.6
Rowe Ltd,Bakery,56.51,Natalieburgh,2024-05-26,Truck,Grocery Store,9,1.6
"Russo, Rogers and Odom",Meat,35.81,Garnerstad,2024-06-13,Drone,Grocery Store,5,2.3
Black-Montgomery,Vegetables,21.73,East Alicia,2024-04-28,Van,Food Bank,2,0.8
Shepard LLC,Grains,39.92,Alexandermouth,2023-12-15,Truck,Restaurant,1,1.7
Tate Ltd,Frozen Food,78.29,Kristinaburgh,2024-09-24,Walk,Grocery Store,4,0.6
Villanueva-Byrd,Fruits,46.91,Caitlynmouth,2023-11-16,Truck,Food Bank,2,1.9
"Smith, Olsen and Nelson",Frozen Food,53.21,Jamesberg,2024-09-21,Truck,Food Bank,7,2.7
"Brooks, Parker and Morrow",Frozen Food,72.07,North Johnathanbury,2024-08-29,Walk,Restaurant,5,2.4
Thomas-Navarro,Fruits,49.27,Dianestad,2024-10-15,Van,Food Bank,6,0.5
"Shah, Rodriguez and Leonard",Dairy,43.76,Sandyport,2024-10-28,Walk,Grocery Store,8,1.4
Walker-Walsh,Meat,70.52,Carterburgh,2024-03-04,Truck,Grocery Store,1,1.6
Hughes-Martinez,Grains,20.32,Davisborough,2024-11-07,Walk,Supermarket,7,2.9
"Owens, Hawkins and Gibson",Bakery,54.32,East Stephenberg,2024-07-21,Truck,Supermarket,2,1.3
Burnett-Brennan,Meat,48.72,New Tammyfort,2024-07-01,Van,Restaurant,8,2.8
"Johnson, Mcdonald and Wallace",Vegetables,77.23,New Meganside,2024-08-07,Van,Grocery Store,1,2.9
"Garcia, Wood and Roman",Grains,85.4,Port Anthony,2024-06-22,Truck,Grocery Store,9,1.1
Allison-Peterson,Canned Goods,38.88,New Zachary,2024-08-15,Truck,Food Bank,7,1.4
Dickerson Ltd,Dairy,10.76,Brownport,2024-05-16,Drone,Farm,1,0.7
Branch Ltd,Snacks,84.52,Keithside,2024-03-17,Bike,Farm,6,0.6
"Burton, Sutton and Morgan",Snacks,27.29,Lake Michael,2024-07-05,Truck,Grocery Store,7,2.1
Porter-Edwards,Frozen Food,66.72,East Jessica,2024-01-24,Van,Grocery Store,1,1.7
"Burke, Russell and Schmidt",Frozen Food,76.35,East Erica,2024-10-10,Drone,Grocery Store,3,1.8
Hull-Orozco,Meat,92.88,Patrickchester,2024-01-15,Van,Food Bank,9,2.4
"Harper, Green and Rodriguez",Fruits,88.14,New Diana,2024-10-25,Truck,Supermarket,4,0.8
Lopez PLC,Canned Goods,53.76,Kyleport,2024-10-05,Drone,Supermarket,4,0.7
"Rice, Peters and Allen",Snacks,43.4,Flynnside,2024-03-03,Drone,Grocery Store,7,2.8
Caldwell-White,Meat,47.45,Port Bruce,2024-11-08,Bike,Grocery Store,8,0.6
Anderson-Patton,Frozen Food,77.73,Danielleberg,2024-10-16,Truck,Farm,5,0.9
Gilbert-Cook,Dairy,65.77,West Brittneyton,2023-12-10,Drone,Supermarket,5,2.3
Johnson Ltd,Snacks,50.98,Mariafort,2024-03-14,Bike,Food Bank,5,2.4
Melendez PLC,Dairy,62.85,Rodriguezfurt,2024-09-25,Truck,Supermarket,5,0.7
Lawrence LLC,Meat,79.53,Lake Bretthaven,2024-04-08,Van,Restaurant,1,2.6
White Inc,Grains,95.5,Patriciastad,2024-07-10,Walk,Farm,1,0.9
Buck-Alvarado,Snacks,81.25,Mannport,2024-07-07,Walk,Farm,5,0.8
"Taylor, Jones and Dillon",Canned Goods,89.8,Rebeccafort,2024-09-17,Truck,Grocery Store,8,0.5
"Hernandez, Hall and Bailey",Dairy,75.63,Port James,2024-03-25,Truck,Restaurant,6,1.6
Gay and Sons,Meat,67.65,Fordport,2023-12-18,Drone,Farm,1,1.0
Zavala-Cook,Vegetables,14.6,South Thomasfort,2024-10-16,Drone,Farm,1,1.1
Dixon-Singleton,Dairy,90.19,Port David,2024-03-15,Bike,Food Bank,7,2.4
Evans LLC,Snacks,83.11,New Christopherfort,2024-09-21,Van,Supermarket,7,2.6
"Black, Davis and Houston",Fruits,27.83,West Reginamouth,2024-07-24,Drone,Supermarket,1,1.7
"Newton, Gay and Fuller",Snacks,49.0,Lake Brandonfurt,2024-11-13,Van,Supermarket,2,2.4
"Waller, Armstrong and Taylor",Frozen Food,13.17,Mendozatown,2024-03-17,Bike,Food Bank,7,0.8
"Anderson, Ware and Newton",Fruits,93.07,West Benjaminton,2024-02-28,Bike,Supermarket,8,1.0
"Jacobson, Miller and Howard",Dairy,34.23,Baileyshire,2024-11-13,Van,Food Bank,1,2.8
Wilson LLC,Dairy,55.29,South Emma,2024-08-30,Drone,Farm,7,2.8
"Miller, Myers and Johnson",Bakery,57.3,South Annshire,2024-04-05,Drone,Food Bank,8,2.6
Lewis LLC,Grains,32.06,Hernandezside,2024-07-24,Truck,Farm,9,0.8
Flores PLC,Fruits,36.85,Pattersontown,2024-11-05,Bike,Farm,4,2.8
"Wise, Patterson and Gallagher",Fruits,35.8,Christinaport,2024-02-06,Drone,Grocery Store,1,1.2
West PLC,Bakery,73.42,Sarahfurt,2024-08-18,Van,Farm,4,2.0
Lewis PLC,Dairy,98.7,South Debbie,2024-06-07,Van,Supermarket,3,2.6
"Adams, Moore and Porter",Vegetables,69.47,Edwardsview,2024-02-17,Walk,Supermarket,2,1.7
Garcia LLC,Meat,35.11,West Terry,2024-10-17,Bike,Restaurant,8,1.1
"Freeman, Harrison and Weber",Grains,66.25,Johnsonhaven,2024-02-08,Truck,Restaurant,2,2.9
Lopez-Mcintosh,Fruits,30.09,New Robert,2024-08-28,Truck,Supermarket,1,1.9
Johnson-Jones,Meat,43.45,Brooksside,2024-08-10,Van,Supermarket,7,1.3
Forbes Group,Snacks,60.57,Wallschester,2024-01-12,Van,Food Bank,5,2.6
Carroll PLC,Grains,33.16,Tomberg,2024-07-20,Bike,Farm,2,0.9
"Roach, Norris and Rodriguez",Frozen Food,47.6,West David,2024-10-22,Bike,Restaurant,5,1.8
Valdez-Wallace,Grains,41.96,Mcguireport,2024-05-16,Truck,Restaurant,2,2.5
Harper Inc,Grains,80.1,Russellview,2024-04-18,Truck,Farm,9,2.9
Wallace-Carter,Dairy,45.48,Caitlinburgh,2024-07-16,Bike,Supermarket,6,0.8
"Patterson, Adams and Fuller",Snacks,29.71,Joshuaton,2024-05-01,Van,Food Bank,6,1.7
Murray-Peterson,Bakery,33.88,Staceybury,2024-06-13,Van,Grocery Store,2,1.7
"Morgan, Wagner and Schneider",Meat,7.1,Clarkfurt,2023-11-22,Truck,Supermarket,8,0.6
Lewis-Hernandez,Vegetables,10.56,Nealstad,2023-12-14,Bike,Supermarket,5,2.2
Martin LLC,Grains,91.34,Kellyshire,2024-05-15,Bike,Farm,5,2.1
Cherry Group,Fruits,73.99,Tonyton,2024-07-22,Van,Restaurant,9,2.5
"Kelley, Castro and Zimmerman",Canned Goods,58.28,Thomasview,2024-08-18,Walk,Restaurant,7,0.5
Navarro PLC,Vegetables,35.19,Cisnerosport,2024-10-06,Bike,Grocery Store,6,2.5
"Phillips, Johnson and Smith",Frozen Food,66.95,Robinsonland,2024-01-01,Truck,Grocery Store,2,1.0
Chase-Duke,Frozen Food,44.99,Tylerside,2024-03-01,Truck,Food Bank,8,2.6
Bowen-Arnold,Fruits,35.2,Ericland,2024-05-07,Van,Farm,1,0.9
Robinson-Perry,Canned Goods,10.82,Amyfurt,2024-07-05,Van,Supermarket,7,2.5
Hunter-Roberts,Fruits,30.64,Danahaven,2023-11-26,Walk,Supermarket,1,1.1
White-Franco,Meat,89.18,West Josephstad,2024-04-26,Drone,Farm,3,2.1
"Sullivan, Friedman and Clements",Snacks,38.87,Sarahchester,2024-05-11,Walk,Supermarket,8,0.8
Myers-Hoffman,Grains,40.69,Mariastad,2024-10-03,Bike,Supermarket,4,0.8
Li-Bush,Grains,11.87,New Dawnland,2024-09-15,Bike,Farm,9,1.2
Evans Ltd,Dairy,56.51,Schneiderhaven,2024-08-19,Bike,Supermarket,8,1.3
Reed-Rodgers,Vegetables,30.43,Lake Christina,2023-12-21,Van,Food Bank,9,1.6
Swanson-Dixon,Vegetables,97.11,North Kelli,2024-06-30,Truck,Grocery Store,4,0.8
Wallace Inc,Canned Goods,93.82,East Tiffanyview,2024-08-09,Drone,Restaurant,2,1.3
Watkins-Taylor,Dairy,96.73,Lake Anna,2024-10-05,Walk,Farm,1,0.8
Holden-Mendoza,Fruits,47.03,Cameronberg,2024-01-14,Bike,Grocery Store,9,0.6
Brown Ltd,Snacks,62.92,Manningchester,2023-12-16,Van,Restaurant,9,2.8
Wilson-Campbell,Grains,64.23,East Matthewton,2023-11-21,Van,Restaurant,7,2.1
Gutierrez-Galloway,Fruits,70.51,Lake Angelaside,2024-04-06,Walk,Restaurant,7,2.8
"Ritter, Terry and Carson",Canned Goods,36.93,East Samuel,2024-07-27,Van,Food Bank,6,2.6
Mcfarland and Sons,Bakery,84.89,East Lisa,2024-06-25,Walk,Food Bank,4,1.5
Simpson Group,Meat,57.48,Andrestad,2024-07-06,Bike,Food Bank,5,2.0
Warren Inc,Grains,38.43,North Melvin,2024-09-10,Walk,Supermarket,4,1.3
"Sanchez, Gomez and Williams",Snacks,97.86,Benjaminfurt,2023-12-19,Bike,Supermarket,9,1.3
Atkinson-Green,Canned Goods,42.96,Andrademouth,2024-01-25,Truck,Farm,2,1.8
"Fernandez, Camacho and Garcia",Meat,32.88,New Derek,2024-05-02,Drone,Grocery Store,5,2.9
Leblanc-Miller,Canned Goods,54.15,Elizabethstad,2024-02-07,Truck,Restaurant,9,1.5
Gray-Lynn,Meat,86.93,Santosstad,2023-12-22,Drone,Grocery Store,1,1.3
Jordan-Aguilar,Frozen Food,88.34,North Rebecca,2024-05-23,Bike,Farm,2,1.1
"Morris, Espinoza and Evans",Grains,6.37,New Sarahville,2023-11-28,Bike,Supermarket,7,0.9
"Moore, Alvarez and Garcia",Meat,15.2,Lake Tylerfort,2024-04-29,Drone,Supermarket,5,1.3
Johnson Group,Fruits,9.96,South Alexanderville,2024-03-24,Bike,Food Bank,6,2.3
Hester-Robinson,Snacks,73.71,Blevinsmouth,2024-02-23,Van,Food Bank,7,2.8
Murray and Sons,Canned Goods,7.5,New Gary,2024-09-10,Truck,Farm,5,2.1
Martinez Group,Meat,32.29,Jeffreymouth,2024-04-07,Truck,Supermarket,6,2.3
Brady-Allen,Bakery,20.44,Port Tonyland,2024-02-14,Walk,Grocery Store,6,2.8
Burke-Anderson,Snacks,54.06,North Amandaton,2024-09-14,Van,Farm,4,1.3
Phillips Inc,Vegetables,66.33,West Nicholas,2024-05-30,Truck,Grocery Store,8,2.8
Martinez Inc,Frozen Food,78.76,Tracybury,2024-07-31,Truck,Restaurant,8,2.6
"Jones, Peterson and Rivera",Snacks,12.14,West Jesusburgh,2024-02-11,Van,Farm,1,2.3
Ellis-Howard,Meat,76.42,South Tiffanyville,2024-07-06,Drone,Food Bank,4,0.9
Martinez PLC,Meat,32.6,Paultown,2024-04-05,Drone,Farm,4,2.0
Hancock-Oneal,Vegetables,36.52,Lauraview,2024-07-29,Walk,Farm,2,1.0
Lee PLC,Bakery,27.7,South Michaelfurt,2024-07-03,Walk,Supermarket,6,2.2
Miller-Mercado,Frozen Food,15.61,South Stephaniechester,2024-08-21,Bike,Supermarket,9,0.9
Valencia Inc,Meat,99.14,Torresview,2024-09-22,Van,Supermarket,4,1.4
Taylor-Strickland,Grains,26.84,New Scott,2024-10-29,Truck,Grocery Store,8,1.5
"Yates, Kemp and Allen",Canned Goods,36.09,Michelleborough,2024-02-22,Van,Farm,7,3.0
Jacobson-Franklin,Grains,23.37,Hobbsmouth,2024-06-29,Bike,Restaurant,3,1.4
Compton-Lynch,Grains,88.88,Port Alison,2024-01-08,Van,Farm,3,2.1
"Young, Franco and Garcia",Canned Goods,36.65,Owensbury,2024-06-27,Walk,Grocery Store,6,1.0
Mills Group,Grains,50.81,Tammyton,2024-07-14,Walk,Restaurant,6,0.8
Watson PLC,Vegetables,56.89,North Hunter,2024-06-08,Truck,Farm,7,1.9
"Cline, Jacobs and Fritz",Vegetables,7.63,Richstad,2024-06-29,Drone,Restaurant,6,1.3
"Knapp, Tucker and Collins",Vegetables,73.41,Myerschester,2024-04-17,Van,Restaurant,6,1.5
Martin-Miller,Bakery,31.6,Lake Tracy,2024-01-05,Van,Food Bank,5,0.9
"Winters, Newton and Robinson",Canned Goods,14.62,Lake Edward,2024-09-30,Bike,Grocery Store,5,1.5
Parker-Martin,Vegetables,86.28,Adamsfurt,2024-02-16,Van,Restaurant,1,1.5
Sharp PLC,Bakery,75.72,Port Rickystad,2024-08-16,Truck,Grocery Store,3,0.8
Johnson-Gonzalez,Dairy,18.63,Lake Justinmouth,2024-07-06,Walk,Food Bank,6,1.3
Thomas-Owens,Dairy,77.32,Stevenmouth,2024-02-20,Walk,Farm,1,2.4
Palmer-Henderson,Snacks,54.83,North Samuel,2024-03-12,Bike,Grocery Store,3,2.7
Knapp Ltd,Frozen Food,93.3,East Tommyside,2024-04-30,Drone,Grocery Store,8,1.0
"Farmer, Garcia and Rodriguez",Vegetables,85.21,East Michaelborough,2024-01-27,Bike,Restaurant,6,1.6
Warren Inc,Snacks,23.01,East Riley,2024-03-10,Truck,Food Bank,9,1.8
Howard PLC,Vegetables,29.44,Garrettport,2024-02-07,Bike,Food Bank,4,0.8
Delgado-Ray,Frozen Food,99.69,East Geoffrey,2024-02-05,Truck,Food Bank,6,2.3
Black-Reese,Meat,8.56,Port Karl,2023-12-26,Drone,Grocery Store,2,2.3
Logan Group,Canned Goods,71.83,East Brendanfurt,2024-03-06,Van,Restaurant,6,3.0
English Ltd,Fruits,45.49,Lake Ashley,2024-05-15,Bike,Restaurant,4,2.3
Brown-Kidd,Meat,40.21,East Kyle,2024-10-03,Van,Grocery Store,5,1.9
"Thompson, Morgan and Fletcher",Canned Goods,58.04,Vickiton,2024-03-09,Van,Supermarket,6,0.6
Powers-Chavez,Grains,6.85,East Angela,2024-04-08,Drone,Farm,3,2.7
Jefferson-Harvey,Fruits,59.72,North Charles,2024-09-20,Drone,Restaurant,2,1.1
"Gibson, Wright and Johnson",Meat,56.19,Lake Desiree,2024-07-09,Van,Grocery Store,4,2.6
Guzman-Dunn,Frozen Food,82.27,Lake Christina,2023-12-16,Truck,Supermarket,7,2.3
Hill-Grant,Snacks,45.28,Michaelshire,2023-12-04,Van,Food Bank,4,0.8
"Turner, Scott and Roberts",Canned Goods,34.74,East Aliciaborough,2023-11-22,Drone,Supermarket,3,2.5
Brown-Rangel,Frozen Food,14.77,North Bethfort,2023-12-10,Bike,Restaurant,8,2.8
Miller Ltd,Vegetables,8.54,Davidsonburgh,2024-09-13,Drone,Restaurant,2,1.8
Anderson Group,Grains,71.58,Erikashire,2024-11-09,Truck,Restaurant,3,1.4
"Ramirez, Burns and Mason",Snacks,52.31,New Brianna,2023-11-26,Walk,Farm,9,0.9
Olsen-Rodriguez,Meat,73.58,East Brett,2024-01-08,Bike,Supermarket,8,0.8
Murillo Inc,Grains,70.2,Christopherchester,2023-12-13,Walk,Restaurant,5,0.7
"Gomez, Arnold and Reilly",Dairy,58.59,Lake Chris,2024-07-26,Walk,Supermarket,3,1.8
"Jackson, Stokes and Mason",Fruits,35.75,Rivasmouth,2024-05-26,Walk,Farm,4,1.3
"Ellis, Griffin and Smith",Canned Goods,10.02,Jodiburgh,2024-09-29,Walk,Food Bank,3,2.2
"Alvarado, Mathis and Brown",Dairy,7.65,Port Thomas,2024-03-28,Bike,Food Bank,9,2.9
Wilson-Anderson,Frozen Food,55.82,Taraborough,2024-02-27,Walk,Farm,9,1.2
Thompson-Dominguez,Bakery,11.68,South Juanhaven,2024-06-28,Van,Restaurant,1,1.4
Hayes-Green,Canned Goods,12.57,Matthewport,2024-03-25,Bike,Restaurant,8,1.3
Young LLC,Bakery,36.57,Lake Edwinport,2024-01-31,Bike,Grocery Store,5,2.0
Rivera-Zimmerman,Meat,98.88,Danielfurt,2024-08-31,Walk,Food Bank,2,2.6
"Thompson, Wilson and Simmons",Vegetables,73.36,South Tiffanytown,2024-09-09,Truck,Grocery Store,3,2.4
"Powell, Cooke and Mckay",Frozen Food,6.73,North Eric,2024-08-06,Drone,Supermarket,4,0.8
Lee-Russell,Meat,20.93,East Sandraton,2024-05-14,Van,Supermarket,4,0.5
Williams Inc,Dairy,30.69,Charlesport,2024-11-12,Bike,Farm,7,1.4
Meza Group,Meat,95.22,Georgestad,2024-04-11,Van,Restaurant,1,1.2
Clayton Ltd,Dairy,16.37,Valdezville,2024-10-01,Van,Grocery Store,5,2.5
Mcclure Group,Snacks,68.04,East Sarahhaven,2024-04-30,Walk,Farm,7,2.6
Murphy and Sons,Canned Goods,15.27,Lake Jonathanside,2024-09-08,Drone,Supermarket,7,2.1
Fox-Newton,Canned Goods,20.47,New Davidborough,2023-12-22,Van,Grocery Store,1,1.6
"Ford, Salazar and Ruiz",Vegetables,37.04,Samanthaport,2024-03-13,Van,Supermarket,5,1.0
Wall-Johnson,Canned Goods,67.66,New Heather,2024-05-21,Walk,Grocery Store,7,1.8
"Scott, Trujillo and Ayala",Dairy,31.51,South Duane,2024-07-19,Drone,Supermarket,1,1.2
Williams and Sons,Canned Goods,22.2,North Jenniferport,2024-08-25,Van,Restaurant,2,2.5
Chase Group,Dairy,10.46,Longmouth,2024-10-10,Van,Supermarket,5,2.5
Griffin-Riley,Meat,10.81,Julianshire,2024-10-21,Truck,Grocery Store,6,2.4
"Robinson, Juarez and Clayton",Dairy,22.35,West Erin,2024-04-21,Drone,Food Bank,1,1.3
"Oliver, Diaz and Murphy",Snacks,67.01,East Michaelville,2024-01-22,Truck,Farm,5,0.7
"Gonzalez, Jenkins and Glass",Fruits,68.31,Jasonland,2024-03-17,Walk,Grocery Store,2,2.2
Contreras Group,Frozen Food,35.35,Ortizview,2024-09-19,Van,Farm,3,0.6
Smith-Harmon,Snacks,96.36,Holmesville,2023-12-05,Drone,Food Bank,3,0.9
"Wilson, Whitehead and Turner",Dairy,5.95,East Angelica,2024-03-13,Truck,Grocery Store,5,0.7
Thompson LLC,Canned Goods,64.26,New Lauraburgh,2024-08-24,Walk,Grocery Store,8,1.9
Yang-Campbell,Dairy,36.91,South Alexanderbury,2024-04-18,Drone,Grocery Store,7,0.6
"Martinez, Rios and Anderson",Canned Goods,20.5,Lake Shari,2024-05-24,Truck,Farm,1,0.8
"Short, Fitzgerald and Salazar",Dairy,10.32,Lake Tinaland,2024-01-17,Van,Farm,3,1.4
"Johnson, Hunt and Black",Vegetables,22.08,New Shelbyfurt,2024-06-19,Truck,Farm,6,0.7
"Chase, Fields and Huang",Snacks,19.13,Amandaberg,2024-05-07,Bike,Food Bank,2,1.3
"Schwartz, Jennings and Johnson",Dairy,43.14,Waltonstad,2023-12-07,Drone,Supermarket,9,1.7
"James, Clark and Butler",Bakery,29.53,Aaronside,2023-11-22,Walk,Food Bank,9,0.6
Garcia-Lucero,Frozen Food,18.38,Charlesfort,2024-10-20,Drone,Food Bank,3,1.2
Wright Group,Meat,96.51,Dawntown,2024-01-11,Truck,Grocery Store,2,1.8
Harper-Cross,Frozen Food,32.16,Taylorstad,2023-11-28,Van,Restaurant,9,3.0
"Riley, Brown and Robertson",Frozen Food,69.4,North Carly,2024-09-22,Truck,Restaurant,2,2.6
Hendrix-Wilson,Frozen Food,16.72,Robertshire,2024-02-01,Van,Grocery Store,8,1.8
Cameron-Lyons,Vegetables,41.02,West Allenborough,2023-12-14,Bike,Food Bank,2,2.2
Peterson-Myers,Bakery,91.23,West Alexville,2024-05-24,Bike,Farm,9,1.3
Nelson LLC,Dairy,99.26,Douglasport,2024-02-02,Bike,Farm,5,0.7
Peterson-Ferguson,Fruits,57.31,Lake Amy,2024-03-30,Truck,Food Bank,2,2.1
"Mccann, Rowe and Jenkins",Meat,15.76,Taylorland,2024-10-30,Truck,Restaurant,7,2.0
"Payne, Collins and Anderson",Fruits,89.64,East Carlos,2024-09-29,Bike,Farm,7,2.0
"Potts, Robinson and Torres",Frozen Food,34.32,Port Pamelatown,2024-05-08,Drone,Farm,4,0.6
Davis and Sons,Snacks,54.85,Moorefort,2024-09-04,Walk,Supermarket,4,1.4
Romero and Sons,Snacks,85.54,Troyfort,2024-10-02,Van,Restaurant,2,1.0
Stewart and Sons,Bakery,78.26,Scottshire,2024-05-25,Bike,Grocery Store,3,0.9
Herrera-Hammond,Bakery,67.66,Nicoleburgh,2024-11-07,Truck,Restaurant,1,2.6
Morris-Montoya,Dairy,90.42,East Wyatt,2024-08-11,Bike,Grocery Store,3,2.2
Greene-Bridges,Vegetables,54.29,Theresachester,2024-11-02,Bike,Food Bank,4,2.1
Thomas and Sons,Dairy,48.54,Johnsonmouth,2024-08-05,Van,Grocery Store,1,1.2
Fisher-Taylor,Frozen Food,72.01,Fisherfort,2024-03-19,Van,Food Bank,9,1.5
"Mcmillan, Jenkins and Hodge",Snacks,8.59,North Dorothy,2024-08-26,Van,Grocery Store,7,2.4
Mata LLC,Snacks,66.75,North Kristyside,2024-04-28,Van,Grocery Store,6,1.1
